,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1
2,3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
7,8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
22,23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1
30,31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1
35,36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
41,42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1
43,44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
46,47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
47,48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
58,59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1
81,82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1
88,89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1
90,91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1
104,105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1
105,106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1
118,119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1
126,127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1
138,139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
139,140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
144,145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
151,152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1
166,167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
168,169,15574692,Pinto,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1
179,180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1
184,185,15719377,Cocci,804,France,Female,50,4,0.0,1,1,1,8546.87,1
190,191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1
203,204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1
206,207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1
227,228,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1
237,238,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1
238,239,15794056,Johnston,668,France,Female,46,2,0.0,3,1,0,89048.46,1
245,246,15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,1,0,131953.23,1
268,269,15717398,Fielding,549,Spain,Female,39,7,0.0,1,0,0,81259.25,1
293,294,15590241,Chuang,750,Spain,Female,34,9,112822.26,1,0,0,150401.53,1
297,298,15684173,Chang,687,Spain,Female,44,7,0.0,3,1,0,155853.52,1
327,328,15736008,Hunter,644,France,Female,46,9,95441.27,1,1,0,108761.05,1
333,334,15728669,Knowles,584,Germany,Female,30,8,112013.81,1,1,0,177772.03,1
338,339,15636624,Nwabugwu,805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1
339,340,15807923,Young,716,Germany,Female,39,10,115301.31,1,1,0,43527.4,1
340,341,15745844,Kerr,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1
361,362,15696674,Robinson,643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1
379,380,15629677,Distefano,687,Spain,Female,39,2,0.0,3,0,0,188150.6,1
399,400,15646372,Outhwaite,616,France,Female,66,1,135842.41,1,1,0,183840.51,1
406,407,15578045,Mitchell,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1
413,414,15801559,Chiang,693,Germany,Female,41,9,181461.48,3,1,1,187929.43,1
416,417,15720559,Heath,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1
420,421,15810418,T'ang,756,Germany,Female,60,3,115924.89,1,1,0,93524.19,1
433,434,15595039,Manna,545,Germany,Female,37,8,114754.08,1,1,0,136050.44,1
448,449,15694860,Uspensky,675,France,Female,38,6,68065.8,1,0,0,138777.0,1
463,464,15773792,Evans,662,France,Female,32,4,133950.37,1,1,1,48725.68,1
467,468,15593782,Brookes,816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1
493,494,15725679,Hsia,531,France,Female,47,6,0.0,1,0,0,194998.34,1
494,495,15585865,Westerberg,673,France,Female,38,2,170061.92,2,0,0,134901.34,1
499,500,15677020,Selezneva,570,France,Female,58,8,0.0,1,0,1,116503.92,1
514,515,15682048,Pisano,605,France,Female,51,3,136188.78,1,1,1,67110.59,1
516,517,15752081,Vassiliev,468,France,Female,56,10,0.0,3,0,1,62256.87,1
520,521,15671256,Macartney,850,France,Female,35,1,211774.31,1,1,0,188574.12,1
528,529,15653849,Lu,572,Germany,Female,48,3,152827.99,1,1,0,38411.79,1
538,539,15794142,Ferreira,564,Germany,Female,62,5,114931.35,3,0,1,18260.98,1
539,540,15762729,Ukaegbunam,745,Germany,Female,28,1,111071.36,1,1,0,73275.96,1
544,545,15802593,Little,504,France,Female,49,7,0.0,3,0,1,87822.14,1
555,556,15775318,Lu,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1
563,564,15665956,Pendergrass,509,France,Female,46,1,0.0,1,1,0,71244.59,1
566,567,15651674,Billson,438,Spain,Female,54,2,0.0,1,0,0,191763.07,1
573,574,15607312,Ch'ang,648,Spain,Female,49,10,0.0,2,1,1,159835.78,1
581,582,15737741,McKay,607,Spain,Female,33,2,108431.87,2,0,1,109291.39,1
584,585,15803689,Begum,647,Germany,Female,51,1,119741.77,2,0,0,54954.51,1
585,586,15718057,Onyinyechukwuka,760,France,Female,51,2,100946.71,1,0,0,179614.8,1
589,590,15591047,Ma,519,Spain,Female,47,6,157296.02,2,0,0,147278.43,1
590,591,15788291,Okwuadigbo,713,Germany,Female,38,7,144606.22,1,1,1,56594.36,1
598,599,15637476,Alexandrova,683,Germany,Female,57,5,162448.69,1,0,0,9221.78,1
600,601,15683503,Hudson,601,France,Female,43,8,0.0,3,0,1,110916.15,1
615,616,15745295,Gether,727,Spain,Female,31,0,0.0,1,1,0,121751.04,1
617,618,15766575,Larionova,612,Germany,Female,62,8,140745.33,1,1,0,193437.89,1
630,631,15712403,McMillan,589,France,Female,61,1,0.0,1,1,0,61108.56,1
631,632,15811762,Pickering,583,Germany,Female,54,6,115988.86,1,1,0,57553.98,1
643,644,15640078,Chambers,660,Germany,Female,39,5,135134.99,1,1,0,173683.0,1
644,645,15698786,Marcelo,819,France,Female,39,9,133102.92,1,1,0,27046.46,1
645,646,15569807,Ejimofor,673,France,Female,34,8,42157.08,1,1,0,20598.59,1
687,688,15579334,Watkins,769,Germany,Female,45,5,126674.81,1,1,0,124118.71,1
688,689,15802741,Mitchel,625,France,Female,51,7,136294.97,1,1,0,38867.46,1
697,698,15620204,Walker,543,Germany,Female,57,1,106138.33,2,1,1,120657.32,1
714,715,15807609,Yuan,650,Spain,Female,25,3,86605.5,3,1,0,16649.31,1
720,721,15721658,Fleming,672,Spain,Female,56,2,209767.31,2,1,1,150694.42,1
721,722,15578761,Cunningham,459,Spain,Female,42,6,129634.25,2,1,1,177683.02,1
729,730,15612525,Preston,499,France,Female,57,1,0.0,1,0,0,131372.38,1
734,735,15612966,Milani,545,Germany,Female,60,7,128981.07,1,0,1,176924.21,1
743,744,15641675,Kirillova,611,France,Female,49,2,88915.37,3,0,0,161435.02,1
761,762,15582741,Maclean,693,France,Female,35,5,124151.09,1,1,0,88705.14,1
762,763,15637876,Burns,663,Germany,Female,36,6,77253.5,1,0,0,35817.97,1
769,770,15685329,McKenzie,531,France,Female,63,1,114715.71,1,0,1,24506.95,1
770,771,15584091,Pitts,742,Germany,Female,36,2,129748.54,2,0,0,47271.61,1
776,777,15712551,Shen,622,Germany,Female,58,7,116922.25,1,1,0,120415.61,1
805,806,15756026,Hooper,790,Spain,Female,46,9,0.0,1,0,0,14679.81,1
817,818,15806438,Chiabuotu,580,Germany,Female,42,2,123331.36,1,0,0,103516.08,1
823,824,15757811,Lloyd,732,Spain,Female,69,9,137453.43,1,0,1,110932.24,1
838,839,15585888,Nwokezuike,553,Spain,Female,48,3,0.0,1,0,1,30730.95,1
843,844,15672012,Jen,773,Spain,Female,41,5,0.0,1,1,0,28266.9,1
