,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
3,4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0
4,5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
12,13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0
13,14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0
14,15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0
17,18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0
19,20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0
21,22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
24,25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0
28,29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
33,34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0
34,35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0
42,43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
44,45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
45,46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
49,50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
52,53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0
61,62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0
65,66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0
66,67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0
68,69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0
69,70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0
72,73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
73,74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0
75,76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0
77,78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0
79,80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0
80,81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0
82,83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0
83,84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0
84,85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0
85,86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0
89,90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
92,93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0
100,101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0
101,102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0
107,108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
115,116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0
116,117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0
117,118,15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,0
122,123,15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,0
123,124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0
124,125,15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,183646.41,0
128,129,15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,171378.77,0
130,131,15740404,He,758,France,Female,34,3,0.0,2,1,1,124226.16,0
131,132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0
135,136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0
136,137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0
142,143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0
145,146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
146,147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
150,151,15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0
154,155,15709368,Milne,614,France,Female,43,6,0.0,2,1,1,109041.53,0
156,157,15655007,Li,758,France,Female,33,7,0.0,2,0,0,82996.47,0
157,158,15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0
158,159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0
159,160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0
160,161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0
162,163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0
163,164,15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0
167,168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0
170,171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0
175,176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0
176,177,15645248,Ho,510,France,Female,30,0,0.0,2,1,1,130553.47,0
178,179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0
180,181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0
182,183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0
186,187,15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0
187,188,15708710,Ford,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0
189,190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0
191,192,15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0
196,197,15635905,Moran,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0
212,213,15573152,Glassman,620,France,Female,41,9,0.0,2,0,0,88852.47,0
213,214,15594917,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0
217,218,15786308,Millar,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0
220,221,15725311,Hay,726,France,Female,31,9,114722.05,2,1,1,98178.57,0
226,227,15774393,Ch'ien,694,France,Female,30,9,0.0,2,1,1,26960.31,0
229,230,15605461,Lucas,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0
232,233,15787174,Sergeyev,512,France,Female,37,1,0.0,2,0,1,156105.03,0
234,235,15704769,Smith,585,France,Female,67,5,113978.97,2,0,1,93146.11,0
236,237,15711540,Pacheco,712,France,Female,29,2,0.0,1,1,1,144375.0,0
241,242,15651001,Tsao,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0
247,248,15599792,Dimauro,545,France,Female,26,1,0.0,2,1,1,199638.56,0
250,251,15628112,Hughes,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0
251,252,15753754,Morrison,587,Spain,Female,34,1,0.0,2,1,1,97932.68,0
252,253,15793726,Matveyeva,681,France,Female,79,0,0.0,2,0,1,170968.99,0
257,258,15592979,Rose,671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0
258,259,15750803,Jess,693,France,Female,30,6,127992.25,1,1,1,50457.2,0
261,262,15673481,Morton,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0
262,263,15686776,Rossi,557,France,Female,32,6,184686.41,2,1,0,14956.44,0
263,264,15673693,Reppert,682,France,Female,26,0,110654.02,1,0,1,111879.21,0
265,266,15813163,Ch'iu,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0
269,270,15799217,Zetticci,791,Germany,Female,35,7,52436.2,1,1,0,161051.75,0
272,273,15796505,Boyle,811,Germany,Female,34,1,149297.19,2,1,1,186339.74,0
275,276,15758685,Dubinina,706,Spain,Female,37,7,0.0,2,1,1,110899.3,0
277,278,15767339,Chiazagomekpere,777,France,Female,53,10,0.0,2,1,0,189992.97,0
284,285,15708608,Wallwork,799,France,Female,22,8,174185.98,2,0,1,192633.85,0
287,288,15790678,Davidson,475,France,Female,32,8,119023.28,1,1,0,100816.29,0
288,289,15727556,O'Donnell,744,Spain,Female,26,5,166297.89,1,1,1,181694.44,0
291,292,15607098,Ahmed,747,Spain,Female,41,5,94521.17,2,1,0,194926.86,0
296,297,15774510,Tien,714,France,Female,31,4,125169.26,1,1,1,106636.89,0
300,301,15803976,Efremov,694,France,Female,31,10,0.0,2,1,0,160990.27,0
301,302,15682541,Hartley,616,Spain,Female,36,6,132311.71,1,0,0,15462.84,0
303,304,15624188,Chiu,712,France,Female,33,6,0.0,2,1,1,190686.16,0
310,311,15712287,Pokrovskii,652,France,Female,80,4,0.0,2,1,1,188603.07,0
313,314,15797960,Skinner,806,Germany,Female,59,0,135296.33,1,1,0,182822.5,0
318,319,15677512,McEncroe,628,Spain,Female,22,3,0.0,1,1,0,85426.28,0
320,321,15810834,Gordon,525,Spain,Female,57,2,145965.33,1,1,1,64448.36,0
321,322,15678910,Ts'ai,680,France,Female,30,8,141441.75,1,1,1,16278.97,0
323,324,15585215,Yuan,763,France,Female,31,4,0.0,2,0,0,50404.72,0
331,332,15601274,Hsieh,667,Spain,Female,40,1,146502.07,1,1,0,19162.89,0
334,335,15742668,Day,626,Spain,Female,37,6,108269.37,1,1,0,5597.94,0
336,337,15740476,Tsao,659,Germany,Female,32,3,150923.74,2,0,1,174652.51,0
342,343,15681081,Marrero,545,Spain,Female,47,5,0.0,2,1,1,38970.14,0
344,345,15785869,Pisano,718,France,Female,25,7,0.0,2,1,0,30380.12,0
345,346,15763859,Brown,840,France,Female,43,7,0.0,2,1,0,90908.95,0
346,347,15658935,Freeman,630,Germany,Female,34,9,106937.05,2,1,0,138275.01,0
348,349,15735203,Seleznyov,654,Germany,Female,32,1,114510.85,1,1,1,126143.23,0
352,353,15777352,Ikedinachukwu,568,Spain,Female,32,7,169399.6,1,1,0,61936.22,0
354,355,15625461,Amos,613,France,Female,45,1,187841.99,2,1,1,147224.27,0
356,357,15611759,Simmons,850,Spain,Female,57,8,126776.3,2,1,1,132298.49,0
362,363,15706365,Bianchi,648,France,Female,50,9,102535.57,1,1,1,189543.19,0
363,364,15745088,Chen,443,Germany,Female,29,9,99027.61,2,1,0,10940.4,0
365,366,15613085,Ibrahimova,628,Spain,Female,33,3,0.0,1,1,1,188193.25,0
366,367,15633537,Nolan,540,Germany,Female,42,9,87271.41,2,1,0,172572.64,0
367,368,15594720,Scott,460,Germany,Female,35,8,102742.91,2,1,1,189339.6,0
369,370,15583303,Monaldo,593,France,Female,29,2,152265.43,1,1,0,34004.44,0
371,372,15774696,Cole,640,Germany,Female,75,1,106307.91,2,0,1,113428.77,0
375,376,15758449,Angelo,769,France,Female,39,8,0.0,1,0,1,21016.0,0
378,379,15677371,Ko,629,Spain,Female,30,2,34013.63,1,1,0,19570.63,0
380,381,15713578,Farrell,483,France,Female,50,9,0.0,2,1,1,111020.24,0
382,383,15568240,Ting,492,Germany,Female,30,10,77168.87,2,0,1,146700.22,0
385,386,15720910,Black,560,France,Female,66,9,0.0,1,1,1,15928.49,0
388,389,15748936,Whitehead,709,Spain,Female,45,2,0.0,2,0,1,162922.65,0
389,390,15717225,Ikemefuna,544,France,Female,21,10,161525.96,2,1,0,9262.77,0
