,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6,7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0
8,9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0
9,10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0
10,11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
11,12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0
15,16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
18,19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0
20,21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0
23,24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0
25,26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0
26,27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
27,28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0
29,30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0
31,32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0
32,33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
36,37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
37,38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
38,39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0
39,40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
40,41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
48,49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
50,51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
51,52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
55,56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
56,57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0
57,58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
59,60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0
60,61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0
62,63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
63,64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
64,65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
67,68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
71,72,15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0
74,75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0
76,77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0
78,79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
87,88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0
91,92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0
93,94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0
94,95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0
95,96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0
96,97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
97,98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0
98,99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0
99,100,15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,0
102,103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0
103,104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0
106,107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0
108,109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0
110,111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0
111,112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0
112,113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0
113,114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0
119,120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0
